'[0, 0, 0, 26, 1, 0, 0, 26, 1, 0, 0, 26, 0, 26, 1, 1, 1, 1, 1, 0, 26, 1, 1, 1, 1, 0, 0, 0, 0, 0]'
'[1, 28, 1, 24, 1, 1, 1, 1, 0, 0, 0, 26, 0, 26, 1, 1, 1, 1, 1, 1, 0, 0, 26, 24, 1, 1, 1, 1, 1, 1]'
'[0, 0, 26, 24, 0, 26, 1, 0, 26, 0, 26, 0, 26, 0, 0, 26, 1, 1, 0, 0, 26, 1, 1, 1, 1, 1, 0, 0, 26, 1]'
'[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1]'
'[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0]'
'[0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[28, 1, 1, 1, 1, 1, 1, 1, 24, 1, 28, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]'
'[33, 21, 0, 26, 33, 19, 33, 14, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 33, 19, 35, 17]'
'[0, 26, 0, 26, 1, 24, 0, 0, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[1, 1, 0, 26, 1, 1, 1, 0, 26, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 26, 1, 0, 0, 26]'
'[29, 1, 21, 0, 26, 1, 1, 0, 26, 1, 1, 1, 1, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1]'
'[1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[0, 0, 0, 0, 26, 28, 1, 0, 0, 0, 26, 1, 1, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]'
