'[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 26, 1]'
'[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]'
'[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 26, 1, 1, 1, 1, 1, 1, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 1, 1, 0, 0, 0, 0, 0, 26, 28, 1, 0, 0, 26, 0, 0, 0, 26]'
'[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[26, 0, 0, 0, 0, 0, 26, 1, 1, 1, 1, 0, 26, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[28, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 28, 1, 24, 1, 28, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[30, 19, 1, 1, 31, 1, 1, 31, 19, 31, 31, 19, 31, 19, 30, 19, 30, 19, 19, 31, 19, 31, 19, 28, 31, 19, 28, 31, 21, 31]'
'[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 1, 1, 1, 0, 26, 0, 26, 0, 26, 1, 1, 1, 1, 1, 1, 1]'
'[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14, 38, 1, 14]'
'[1, 0, 26, 1, 1, 1, 1, 1, 1, 0, 0, 0, 26, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[1, 1, 1, 1, 1, 1, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]'
'[0, 26, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[31, 1, 1, 29, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[24, 1, 1, 1, 1, 0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]'
'[1, 1, 1, 1, 1, 1, 1, 24, 0, 26, 1, 1, 0, 0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]'
'[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
'[1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 1, 1, 1, 1, 1, 1, 1]'
'[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
